overall_rank,name,position,projected_points,uncertainty,player_id,code,team_name,status,news,prior_season,prior_points,prior_minutes,expected_minutes_season,projected_points_next_6,reliability,fixture_difficulty_next6,replacement_points,value_over_replacement,projection_method,promoted_team,new_to_history,manual_review
97,Matz Sels,GK,105.5167,16.8827,467,85633,Nott'm Forest,a,,2025-26,105.0000,2667.0000,2705.1000,16.6605,1.0000,3.0000,119.5420,-14.0253,2025/26 empirical-Bayes rate and minutes,False,False,False
98,Cole Palmer,MID,105.4997,16.8800,154,244851,Chelsea,a,,2025-26,114.0000,1954.0000,1922.8000,16.6579,1.0000,3.0000,125.4383,-19.9386,2025/26 empirical-Bayes rate and minutes,False,False,False
99,Mikkel Damsgaard,MID,105.4396,16.8703,96,440089,Brentford,a,,2025-26,113.0000,2046.0000,1996.4000,16.5512,1.0000,3.1667,125.4383,-19.9987,2025/26 empirical-Bayes rate and minutes,False,False,False
100,Trai Hume,DEF,105.4252,16.8680,534,487676,Sunderland,a,,2025-26,110.0000,3032.0000,2818.2000,16.6461,1.0000,3.0000,115.0131,-9.5879,2025/26 empirical-Bayes rate and minutes,False,False,False
101,Nick Woltemade,FWD,105.3615,16.8578,463,470313,Newcastle,a,,2025-26,108.0000,1896.0000,1886.1000,16.7331,1.0000,2.8333,102.1080,3.2535,2025/26 empirical-Bayes rate and minutes,False,False,False
102,Joao Gomes,MID,105.2163,16.8346,54,448089,Aston Villa,a,,2025-26,107.0000,2829.0000,2622.8000,16.6131,1.0000,3.0000,125.4383,-20.2220,2025/26 empirical-Bayes rate and minutes,False,False,False
103,Alexis Mac Allister,MID,105.2030,16.8325,372,243016,Liverpool,a,,2025-26,108.0000,2654.0000,2482.8000,16.7079,1.0000,2.8333,125.4383,-20.2354,2025/26 empirical-Bayes rate and minutes,False,False,False
104,Diogo Dalot Teixeira,DEF,104.6554,16.7449,417,216051,Man Utd,a,,2025-26,111.0000,2609.0000,2479.8000,16.6209,1.0000,2.8333,115.0131,-10.3576,2025/26 empirical-Bayes rate and minutes,False,False,False
105,Joe Rodon,DEF,104.4558,16.7129,329,214225,Leeds,a,,2025-26,109.0000,2952.0000,2754.2000,16.3968,1.0000,3.1667,115.0131,-10.5573,2025/26 empirical-Bayes rate and minutes,False,False,False
106,Eberechi Eze,MID,104.3392,16.6943,14,232413,Arsenal,a,,2025-26,113.0000,1885.0000,1867.6000,16.4746,1.0000,3.0000,125.4383,-21.0991,2025/26 empirical-Bayes rate and minutes,False,False,False
107,Reece James,DEF,104.2438,16.6790,142,225796,Chelsea,a,,2025-26,115.0000,1957.0000,1958.2000,16.4595,1.0000,3.0000,115.0131,-10.7693,2025/26 empirical-Bayes rate and minutes,False,False,False
108,Rúben dos Santos Gato Alves Dias,DEF,103.9030,16.6245,390,171314,Man City,a,,2025-26,113.0000,2139.0000,2103.8000,16.4057,1.0000,3.0000,115.0131,-11.1100,2025/26 empirical-Bayes rate and minutes,False,False,False
109,Pascal Struijk,DEF,103.6861,16.5898,328,222694,Brighton,a,,2025-26,108.0000,2935.0000,2740.6000,16.3715,1.0000,3.0000,115.0131,-11.3270,2025/26 empirical-Bayes rate and minutes,False,False,False
110,Adam Wharton,MID,103.2327,28.9052,210,496221,Crystal Palace,d,Ankle injury - 75% chance of playing,2025-26,112.0000,2552.0000,2401.2000,14.9416,0.8800,3.0000,125.4383,-22.2056,2025/26 empirical-Bayes rate and minutes,False,False,True
111,Yehor Yarmoliuk,MID,102.4002,16.3840,102,508395,Brentford,a,,2025-26,104.0000,2652.0000,2481.2000,16.0741,1.0000,3.1667,125.4383,-23.0381,2025/26 empirical-Bayes rate and minutes,False,False,False
