name,position,projected_points,uncertainty,player_id,code,team_name,status,prior_total_points,prior_minutes,fixture_difficulty_next6,projection_method
Brennan Johnson,MID,68.600,10.290,209,242898,Crystal Palace,a,65.000,1710.000,3.000,prior-season points with positional shrinkage
Amine Adli,MID,68.328,10.249,77,489888,Bournemouth,a,67.000,1074.000,3.667,prior-season points with positional shrinkage
Rayan Vitor Simplício Rocha,MID,68.328,10.249,67,499604,Bournemouth,a,67.000,1110.000,3.667,prior-season points with positional shrinkage
Amadou Onana,MID,68.112,15.666,48,449871,Aston Villa,i,76.000,1755.000,3.000,prior-season points with positional shrinkage
Emmanuel Emegha,FWD,67.821,32.554,170,503037,Chelsea,d,,,3.000,position prior for new player
Youri Tielemans,MID,67.185,15.453,43,166989,Man Utd,d,68.000,1857.000,2.833,prior-season points with positional shrinkage
Omar Marmoush,FWD,67.000,16.750,401,438234,Man City,a,56.000,691.000,3.000,prior-season points with positional shrinkage
Rayan Aït-Nouri,DEF,67.000,10.050,392,448514,Man City,a,60.000,971.000,3.000,prior-season points with positional shrinkage
Nico González Iglesias,MID,67.000,10.050,405,465694,Man City,a,63.000,1561.000,3.000,prior-season points with positional shrinkage
Timothy Castagne,DEF,66.896,10.034,258,166477,Fulham,a,61.000,1838.000,3.333,prior-season points with positional shrinkage
Jacob Ramsey,MID,66.641,9.996,456,232653,Newcastle,a,62.000,1441.000,2.833,prior-season points with positional shrinkage
Josh King,MID,66.107,9.916,268,577725,Fulham,a,63.000,1290.000,3.333,prior-season points with positional shrinkage
Lewis Miley,MID,65.731,15.118,459,547719,Newcastle,i,72.000,1493.000,2.833,prior-season points with positional shrinkage
Archie Gray,MID,65.400,9.810,522,547701,Spurs,a,61.000,1471.000,3.000,prior-season points with positional shrinkage
Leny Yoro,DEF,64.225,9.634,420,550864,Man Utd,a,56.000,1730.000,2.833,prior-season points with positional shrinkage
Wesley Fofana,DEF,63.900,14.697,145,444463,Chelsea,s,65.000,1718.000,3.000,prior-season points with positional shrinkage
Adam Smith,DEF,63.656,9.548,64,54469,Bournemouth,a,58.000,1073.000,3.667,prior-season points with positional shrinkage
Mason Mount,MID,63.420,9.513,430,184341,Man Utd,a,58.000,1010.000,2.833,prior-season points with positional shrinkage
Loum Tchaouna,MID,63.375,9.506,190,469272,Coventry City,a,59.000,1259.000,3.167,prior-season points with positional shrinkage
Rodrigo 'Rodri' Hernandez Cascante,MID,63.184,14.532,402,220566,Man City,i,69.000,1510.000,3.000,prior-season points with positional shrinkage
Estêvão Almeida de Oliveira Gonçalves,MID,63.000,15.750,157,624773,Chelsea,a,58.000,839.000,3.000,prior-season points with positional shrinkage
Andrew Robertson,DEF,63.000,9.450,502,122798,Spurs,a,55.000,1165.000,3.000,prior-season points with positional shrinkage
Tino Livramento,DEF,62.643,14.408,450,441191,Newcastle,d,59.000,1326.000,2.833,prior-season points with positional shrinkage
Ian Maatsen,DEF,62.200,9.330,36,441302,Aston Villa,a,54.000,1590.000,3.000,prior-season points with positional shrinkage
Gabriel Martinelli Silva,MID,62.200,9.330,18,444145,Arsenal,a,57.000,1065.000,3.000,prior-season points with positional shrinkage
Jeremy Jacquet,DEF,62.162,24.865,362,606702,Liverpool,a,,,2.833,position prior for new player
